customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
12,21.83541497861949,2244179.3337235707,3,1123.8762578742226,0.6752190589904785,764418916.3233172,602.6111656586104,223.32370276069904,733.0597780429991
12,19.31517173317239,1847867.8476600014,3,1127.1528463534876,1.4662137031555176,599132721.0964254,563.1252583965032,164.656463277035,839.0040356186764
12,18.825144613786858,2266241.222196783,4,1194.9144876709706,2.1005680561065674,713451628.1566069,580.3438188653832,193.9955987980979,855.4221897742995
12,22.08794161338738,1873523.7623420458,3,1002.1895591172466,0.5319409370422363,639563198.8618568,872.6511211532891,191.00443338983416,667.9318006850368
13,22.396381291725653,2069278.5727501197,3,1024.995326909906,1.1243722438812256,683000692.2817006,571.1926364168838,206.19439759232222,664.1551311233422
13,22.13274033049101,2056830.411789219,3,1104.150813274899,0.9645814895629883,710069122.4120499,733.7694531553457,209.03856533713713,738.3333239349092
13,20.410352873180972,1938340.401640336,3,994.6847056418093,0.714956521987915,675508044.8347261,645.1186011034615,178.81905961508224,681.7513513154154
13,20.325245795231368,2118167.2204393665,3,1256.503495577673,1.966702938079834,729100081.9846845,704.7054446142344,199.09962376319368,908.079153992084
13,21.438342855002464,2102838.182987925,3,1072.0064605850926,0.6839892864227295,691351909.0257646,577.0913978475988,210.82306866813317,703.0660904158594
13,19.905779285434324,2059195.937088785,3,1069.707899464084,0.7907941341400146,687705208.912898,692.8703314854627,188.5823481593954,739.688790185142
13,20.4729942159191,1648542.3346480494,3,859.5617287413902,0.9922151565551758,569645877.278255,492.21232656569094,158.01300397413596,583.0389717866523
13,21.511302159303852,1952242.3997245245,3,989.3567507351829,0.735919713973999,661451345.5715189,706.0992748748878,192.2300639705492,652.9541387867218
13,20.100886211947454,2286434.3434690326,4,1180.0050478447024,0.9126112461090088,733333318.2735001,712.4633786075357,210.21570094225578,812.1275711957547
13,20.73802925449468,1847421.7674552316,4,952.5114218037438,0.5719783306121826,612677818.8596439,738.610664887826,176.5270553557385,643.5890749312014
14,22.709259803396954,2213123.3233823613,3,1105.0643535201675,2.004448652267456,765598186.4996008,888.027532791808,231.0137929247414,700.7902159018699
14,20.2982399411767,1982467.957938311,3,1030.2237421727557,0.9667234420776367,693260970.1418934,487.75818155205593,187.41866120461654,702.2410850646768
14,21.164571209358293,2257833.6961047915,3,1152.6649723189598,1.0445606708526611,807156308.8912197,920.0314416440009,222.1919220544712,763.8291087236353
14,21.07722079357152,2109232.9465411874,3,1074.7444324811818,3.2198538780212402,720642585.1666288,763.297083927734,203.46929654667312,718.6731635245037
14,22.46376453629602,2435123.852035014,3,1222.7986025390444,1.7635700702667236,852093653.9441948,606.1855370893359,255.5425823923577,775.5990833524183
14,19.536508468622785,2134293.4992471323,3,1131.5385054627839,2.5479023456573486,750710679.0827054,782.7120168076908,200.09790896670668,781.3671647710471
14,22.134677960187403,2449005.38227275,3,1267.867731479009,2.284005641937256,824732686.2630361,778.9486130360515,246.0973859664894,837.1973060376525
14,24.305555555555554,2110887.829437394,3,1034.4904251042794,0.9833929538726807,738242506.1603962,952.7887844150437,232.10250835895914,628.311035476101
14,24.30555555555556,2106880.8199759433,3,1027.5505659945206,0.6305296421051025,696491752.4029785,595.992646761479,228.78061291828956,627.184493387514
14,22.499822268648987,1916477.2827122023,4,971.099338820741,0.9047422409057617,669365097.8803036,769.2672785777835,201.23056703844742,618.945846503458
15,21.92939529756668,2533314.71206197,3,1273.2381338852779,2.79144024848938,894184299.3874422,678.3148896733587,255.39532435604445,826.2963162622002
15,21.546959475237045,2557697.31001507,4,1290.086817889705,2.227515697479248,827224730.4694562,938.7420627283134,251.4268173551473,850.0898875181971
15,21.302771935593352,2360330.4238104844,4,1599.1944815755091,3.3763325214385986,743542380.7360114,933.4892066707483,220.87089287960217,1212.6704190362054
