customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows
8,18.834213389929594,1960225.577542927,3,1069.183094493283,0.13229656219482422,650433755.0126625,415.6886536397876,167.80489421638234,775.5245296146139,9900
8,18.856140914617153,1934235.3848479984,3,1037.2471479595142,0.1615431308746338,626620338.9626652,388.62042689159387,165.08312710075722,748.3516755331892,10200
8,19.866526738426057,2109133.288429247,3,1115.173187135982,0.14066767692565918,681753399.5158565,350.91136556407525,186.9371947257178,788.0330963659758,10500
8,18.909598366969576,1938205.3573238775,3,1069.975462207747,0.16502881050109863,642676659.9543035,336.28179406171455,165.99520874475186,779.4838469044312,10800
8,20.070129947368486,1908943.5043478175,3,969.4598609768891,0.22247529029846191,622961608.0949559,436.51169838688384,165.9210376511785,679.0980450873267,11100
8,19.623568986681438,1916303.3111586163,3,979.9156736688853,0.17175745964050293,633753577.1607019,376.9585569951654,164.54184236041104,691.967449538166,11400
8,19.308717388683352,1856906.5124713378,3,969.5455971165766,0.2216329574584961,597793852.2666577,415.6886536397876,161.07739517915053,687.6601555530631,11700
8,18.220773931821128,2022469.234341963,3,1071.1456341810476,0.13299798965454102,656098120.2318794,350.91136556407514,163.02129190595645,785.8583733456239,12000
8,16.63345420846813,2140920.9937073044,4,1283.41573475396,0.11487460136413574,648094829.8412458,415.6886536397876,162.5080355963539,999.0266724603406,12300
8,21.04722539422926,1844382.1144892832,3,932.3788512015799,0.2302844524383545,609239797.485008,415.6886536397876,172.9547313821072,629.7080712828923,12600
8,19.190719900350974,1960655.6019168273,3,1033.3672765669908,0.24874210357666016,627318091.111065,421.93383564088515,171.99775139960127,732.3712116176885,12900
8,18.421702613349566,1832381.0283820147,3,982.3546532058691,0.1846308708190918,594965044.5701722,342.5269760628122,150.3848945263036,719.1810877848378,13200
8,18.820797468337776,1768359.5247176096,3,963.1767917609171,0.8591558933258057,578590741.5250597,394.8656088926914,157.19140585383195,688.0918315167112,13500
8,18.168919424084823,1904718.0212202007,3,1093.7202260075721,0.255403995513916,625053337.1616508,409.4434716386901,159.10092218791982,815.2936121787125,13800
8,20.515858417368676,1627223.5349563411,2,818.7676286588757,0.14768195152282715,580893321.2801056,350.91136556407514,145.66778783845731,563.8489999415754,14100
8,17.715880495531486,1987924.1606395023,3,1099.123325659889,0.14960408210754395,648909920.0303483,415.6886536397876,164.17573624694663,811.8157872277322,14400
8,20.03668603687901,2000028.2008187375,3,1017.5059041295241,0.31912970542907715,632229884.9837153,357.1565475651728,176.0437659678247,709.4293136858308,14700
8,17.151481114432446,1828695.4314485271,3,999.6536343078001,0.22891521453857422,604826580.0252898,388.62042689159387,136.83785785316996,760.1873830647526,15000
8,18.09458291607916,2052270.9735121522,3,1153.6437767905345,0.16584348678588867,651465817.4897507,323.8431388158814,176.3698799566388,844.9964868664165,15300
8,21.351200388000183,1627223.5349563411,2,821.2585754253154,0.1953263282775879,568671553.9519215,350.91136556407514,155.9357026402268,548.3710958049185,15600
8,17.41013837017687,2266061.4871694585,4,1314.1360182529233,0.17783904075622559,693996709.114592,415.6886536397876,176.37781857911463,1005.4748357394728,15900
8,17.828301437123102,2022469.234341963,3,1080.8390743138655,0.2095179557800293,652670106.9425203,350.91136556407514,160.38685182174314,800.1620836258151,16200
8,18.287902962114575,1832381.0283820147,3,996.6283666351783,0.26301145553588867,594965044.5707399,342.5269760628122,155.17448378850378,725.0730200052967,16500
8,15.998996975987453,2163792.0516044297,4,1289.1404054526001,0.1304619312286377,658213282.7285663,415.6886536397876,155.15232140138716,1017.6238430001727,16800
8,17.38287264250969,1987924.1606395019,3,1113.2686228574635,0.25272059440612793,645481906.740986,415.6886536397876,161.8400437847815,830.048546234096,17100
8,22.0873289505716,1615549.5191510054,2,812.9056979112315,0.9361634254455566,583823573.9658936,415.6886536397876,164.7409393253335,524.609054091898,17400
8,19.302571604850314,1828695.4314485271,3,949.6999495745526,0.7988393306732178,604826580.0252844,388.62042689159387,159.45343037163747,670.656446424187,17700
8,17.29737737155646,1768359.5247176096,3,1003.9796043924872,0.8783137798309326,578590741.5250597,394.8656088926914,145.256460229993,749.7807989899994,18000
9,15.815323677480608,1798929.3636826673,4,1197.4979163140515,0.10019254684448242,546617974.8493601,522.0672615076907,131.21859136273181,967.8653814292709,1800
9,18.224362333439906,2061998.9039892643,3,1117.1469846549357,0.10076022148132324,647134617.3861386,623.5548899962268,164.9364304719938,828.5082313289466,2100
9,17.64013203742379,2055255.4192563219,4,1279.3804708936902,0.10094070434570312,613827708.4311723,597.3674390862536,157.43741123111226,1003.8650012392438,2400
